ID,Canal,timestamp,Impressoes Disponiveis,Consultas Correspondentes,Impressoes,Cliques,Gasto,Conversao
ADSXJ0000061,Canal2,2023-11-21 03:00:00,2631632,1729847,1310341,1536,2527.08142021622,27
ADSXJ0000062,Canal2,2023-11-28 02:00:00,4053541,2610151,1984138,2498,4092.79271062318,74
ADSXJ0000063,Canal2,2023-11-25 03:00:00,3039339,2057918,1552262,1829,2996.922399678347,21
ADSXJ0000064,Canal2,2023-12-18 02:00:00,3870574,2717054,2064654,2619,4288.926928293103,77
ADSXJ0000065,Canal2,2023-11-29 03:00:00,2664508,1772283,1331725,1555,2540.601205418537,25
ADSXJ0000066,Canal2,2023-12-14 05:00:00,2623280,1741343,1310466,1820,2967.211554161626,22
ADSXJ0000067,Canal2,2023-12-13 05:00:00,2588320,1721542,1287842,1706,2777.324688284627,22
ADSXJ0000068,Canal2,2023-11-17 03:00:00,2615671,1782205,1361653,1598,2600.968466941719,53
ADSXJ0000069,Canal2,2023-12-15 04:00:00,2622025,1642060,1216946,1600,2602.899702287615,23
ADSXJ0000070,Canal2,2023-12-10 04:00:00,2303426,1505380,1108022,1367,2223.81693742361,25
ADSXJ0000071,Canal2,2023-12-13 06:00:00,4423091,3052466,2318232,3522,5728.42573161904,43
ADSXJ0000072,Canal2,2023-11-11 05:00:00,2456978,1522519,1159297,1476,2397.673957022229,20
ADSXJ0000073,Canal2,2023-11-22 06:00:00,3995967,2805395,2161194,3225,5228.416830852693,101
ADSXJ0000074,Canal2,2023-12-22 04:00:00,2483268,1545146,1159264,1504,2434.709789596817,26
ADSXJ0000075,Canal2,2023-12-20 06:00:00,4520502,3143420,2398293,3770,6104.393587757003,55
ADSXJ0000076,Canal2,2023-12-17 04:00:00,2160291,1435964,1066709,1290,2085.330817603957,38
ADSXJ0000077,Canal2,2023-11-20 04:00:00,1918592,1373794,1026337,1193,1929.339012110819,22
ADSXJ0000078,Canal2,2023-12-18 01:00:00,5834898,4241397,3264349,4299,6936.61730162543,75
ADSXJ0000079,Canal2,2023-12-19 06:00:00,4743634,3259331,2476251,3929,6332.248112150438,69
ADSXJ0000080,Canal2,2023-11-27 04:00:00,2208752,1478793,1101284,1385,2230.51337509606,47
ADSXJ0000081,Canal2,2023-11-09 04:00:00,2466437,1520487,1160271,1304,2100.104724050839,45
ADSXJ0000082,Canal2,2023-12-03 04:00:00,1892390,1323002,1010227,1269,2042.724552056055,41
ADSXJ0000083,Canal2,2023-12-10 06:00:00,4642148,2840445,2154060,3308,5325.59987655679,37
ADSXJ0000084,Canal2,2023-11-29 04:00:00,2229694,1425778,1064576,1331,2140.946417100774,20
ADSXJ0000085,Canal2,2023-11-21 06:00:00,3953160,2792628,2149388,3065,4921.103518028279,90
ADSXJ0000086,Canal2,2023-11-16 05:00:00,2261065,1495709,1139348,1489,2390.942572061552,24
ADSXJ0000087,Canal2,2023-11-20 03:00:00,2353382,1734224,1310999,1567,2498.944526940917,44
ADSXJ0000088,Canal2,2023-11-29 02:00:00,3604210,2546677,1936420,2470,3932.467980413396,29
ADSXJ0000089,Canal2,2023-11-20 06:00:00,3527643,2547062,1950314,2798,4448.703649614756,32
ADSXJ0000090,Canal2,2023-12-04 06:00:00,4001577,2842646,2188136,3215,5109.611773372242,82
ADSXJ0000091,Canal2,2023-12-14 04:00:00,2344739,1542747,1154868,1484,2357.320884141344,22
ADSXJ0000092,Canal2,2023-11-19 04:00:00,2300540,1507282,1138573,1361,2157.183271315733,43
ADSXJ0000093,Canal2,2023-12-17 05:00:00,2414832,1609285,1201971,1594,2521.528761058897,18
ADSXJ0000094,Canal2,2023-12-24 04:00:00,2219556,1445098,1085304,1343,2117.177734905663,24
ADSXJ0000095,Canal2,2023-11-23 02:00:00,3623679,2592277,1980057,2478,3905.843154634986,70
ADSXJ0000096,Canal2,2023-12-17 03:00:00,2699102,1784480,1334029,1595,2513.839552425501,42
ADSXJ0000097,Canal2,2023-12-08 06:00:00,4114646,2780915,2111145,3418,5380.565989747222,99
ADSXJ0000098,Canal2,2023-11-14 04:00:00,2254059,1416475,1075273,1291,2031.194816047133,42
ADSXJ0000099,Canal2,2023-11-24 06:00:00,4289025,2980460,2285482,3392,5335.106808661784,59
ADSXJ0000100,Canal2,2023-11-30 04:00:00,2222140,1451489,1083826,1461,2295.906077782196,45
ADSXJ0000101,Canal2,2023-12-24 05:00:00,2454545,1646968,1245271,1709,2684.136862078021,53
ADSXJ0000102,Canal2,2023-12-21 04:00:00,2350261,1549472,1167354,1542,2416.879134667132,40
ADSXJ0000103,Canal2,2023-11-14 05:00:00,2459215,1599675,1218802,1613,2525.893174422159,51
ADSXJ0000104,Canal2,2023-11-08 05:00:00,2509727,1596563,1222663,1473,2299.970521306994,37
ADSXJ0000105,Canal2,2023-12-12 04:00:00,2312840,1555763,1151908,1409,2198.487810377006,38
ADSXJ0000106,Canal2,2023-11-19 06:00:00,3064121,2136592,1631016,2664,4153.592247170752,86
ADSXJ0000107,Canal2,2023-12-18 06:00:00,4583447,3113267,2375159,3819,5953.63661993531,108
ADSXJ0000108,Canal2,2023-12-24 03:00:00,2671605,1791727,1348691,1637,2548.872250241752,22
ADSXJ0000109,Canal2,2023-11-13 05:00:00,2157257,1474537,1128214,1361,2116.813640384847,19
ADSXJ0000110,Canal2,2023-11-11 04:00:00,2552460,1603699,1222758,1462,2270.841882614259,19
ADSXJ0000111,Canal2,2023-11-25 04:00:00,2431371,1565627,1172612,1427,2212.264017173438,23
ADSXJ0000112,Canal2,2023-12-22 03:00:00,3084812,2007691,1516769,1917,2970.710145894358,62
ADSXJ0000113,Canal2,2023-11-09 03:00:00,2985202,1916063,1466754,1675,2593.601486742351,41
ADSXJ0000114,Canal2,2023-12-13 04:00:00,2257153,1500987,1116340,1376,2129.640751661717,39
ADSXJ0000115,Canal2,2023-11-08 04:00:00,2354617,1493155,1140820,1240,1919.281998446295,33
ADSXJ0000116,Canal2,2023-12-06 05:00:00,2779648,1615014,1225088,1583,2442.449269072028,46
ADSXJ0000117,Canal2,2023-12-04 05:00:00,2327099,1600153,1223782,1670,2574.758488294137,30
ADSXJ0000118,Canal2,2023-11-09 06:00:00,3942558,2533807,1949451,2833,4365.908702751175,70
ADSXJ0000119,Canal2,2023-12-22 05:00:00,2586251,1640837,1239582,1779,2740.180416153868,25
ADSXJ0000120,Canal2,2023-12-01 04:00:00,2277899,1531552,1152075,1426,2194.506555524408,18
ADSXJ0000121,Canal2,2023-11-25 06:00:00,3725592,2650889,2022800,3282,5049.201970603386,81
ADSXJ0000122,Canal2,2023-12-12 06:00:00,4519785,3123741,2368722,3791,5830.110369116186,96
ADSXJ0000123,Canal2,2023-11-13 03:00:00,2518856,1781365,1355446,1710,2629.377849317138,22
ADSXJ0000124,Canal2,2023-12-21 05:00:00,2689709,1787219,1349966,1970,3027.831195613814,23
ADSXJ0000125,Canal2,2023-11-13 06:00:00,3489649,2411909,1856881,2779,4265.21608673793,38
ADSXJ0000126,Canal3,2023-12-23 12:00:00,1467,275,220,1,1.675872777531882,0
ADSXJ0000127,Canal2,2023-11-27 06:00:00,3958273,2775168,2117171,3178,4869.388676932996,56
ADSXJ0000128,Canal2,2023-11-13 04:00:00,2030197,1383636,1053260,1187,1817.566369684874,15
ADSXJ0000129,Canal2,2023-10-19 03:00:00,2468391,1584353,1202258,1366,2091.316470614136,38
ADSXJ0000130,Canal2,2023-11-23 06:00:00,4054965,2796578,2148710,3293,5039.575123105603,39
ADSXJ0000131,Canal2,2023-11-16 06:00:00,3595364,2466239,1895631,2982,4560.282541448208,75
ADSXJ0000132,Canal2,2023-10-29 05:00:00,2570858,1680038,1296195,1817,2776.58788207536,25
ADSXJ0000133,Canal2,2023-11-28 04:00:00,2523058,1363243,1029661,1345,2054.348741656373,26
ADSXJ0000134,Canal2,2023-11-22 02:00:00,3594697,2551647,1953129,2501,3817.404024882825,75
ADSXJ0000135,Canal2,2023-12-13 03:00:00,2699377,1874625,1407728,1895,2889.098973471245,21
ADSXJ0000136,Canal2,2023-11-15 06:00:00,3894298,2539574,1958901,2949,4485.761603483134,42
ADSXJ0000137,Canal2,2023-10-30 05:00:00,2853676,1917433,1482663,2104,3193.870326541945,69
ADSXJ0000138,Canal2,2023-11-16 03:00:00,2604491,1754602,1342700,1604,2434.861188881873,41
ADSXJ0000139,Canal2,2023-12-05 05:00:00,2409947,1551431,1177617,1579,2396.681496712329,52
ADSXJ0000140,Canal2,2023-12-17 02:00:00,3656494,2503083,1894004,2341,3551.906720446153,59
ADSXJ0000141,Canal2,2023-12-14 06:00:00,4422127,3123265,2380305,3973,6027.95555607406,69
ADSXJ0000142,Canal2,2023-10-26 04:00:00,2220937,1453795,1116015,1379,2089.936393669261,43
ADSXJ0000143,Canal2,2023-12-15 05:00:00,2743550,1694812,1266142,1919,2907.211882961687,60
ADSXJ0000144,Canal2,2023-10-08 05:00:00,2173936,1594598,1216257,1642,2482.583705577871,42
ADSXJ0000145,Canal2,2023-10-26 05:00:00,2782882,1874346,1448116,2119,3202.665977484894,40
ADSXJ0000146,Canal2,2023-11-14 03:00:00,2682462,1783622,1356111,1597,2411.47834223514,23
ADSXJ0000147,Canal2,2023-12-03 06:00:00,3530803,2503352,1931360,3069,4632.559978377136,37
ADSXJ0000148,Canal2,2023-11-29 00:00:00,8523920,6161932,4746756,6641,10016.80708957925,73
ADSXJ0000149,Canal2,2023-11-10 04:00:00,2452969,1539135,1174867,1429,2155.835698465583,36
ADSXJ0000150,Canal2,2023-12-15 03:00:00,3195609,2037105,1531611,1978,2978.234528837117,34
ADSXJ0000151,Canal2,2023-12-16 04:00:00,2638485,1590744,1180603,1558,2345.707086313757,24
ADSXJ0000152,Canal2,2023-10-13 04:00:00,2208417,1501617,1138926,1442,2171.305455928826,47
ADSXJ0000153,Canal2,2023-11-17 02:00:00,3520618,2499823,1916594,2435,3664.191229622459,43
ADSXJ0000154,Canal2,2023-12-05 04:00:00,2131752,1384841,1046643,1362,2046.240802125747,38
ADSXJ0000155,Canal2,2023-12-19 07:00:00,7863059,5461825,4190536,7334,11005.13629649225,211
ADSXJ0000156,Canal2,2023-10-12 04:00:00,2244141,1475655,1119307,1394,2092.209041293091,22
ADSXJ0000157,Canal2,2023-11-15 02:00:00,3609845,2490501,1905009,2448,3670.207107941972,79
ADSXJ0000158,Canal2,2023-12-14 03:00:00,2749501,1864690,1403186,1845,2764.207367172191,34
ADSXJ0000159,Canal2,2023-12-20 01:00:00,5719589,3905519,2986023,4158,6229.764657691776,130
ADSXJ0000160,Canal3,2023-11-09 20:00:00,1709,424,340,1,1.634219400420384,0
ADSXJ0000161,Canal2,2023-12-09 05:00:00,2369379,1528932,1136936,1624,2428.166769444427,41
ADSXJ0000162,Canal2,2023-10-15 04:00:00,1916082,1365705,1028126,1215,1816.809811361481,34
ADSXJ0000163,Canal2,2023-11-26 06:00:00,3500559,2339392,1778501,3110,4646.969293651792,34
ADSXJ0000164,Canal2,2023-10-30 04:00:00,2213146,1480692,1139139,1334,1992.228555896937,33
ADSXJ0000165,Canal2,2023-11-11 03:00:00,3199002,2103080,1605593,1991,2965.414715671121,64
ADSXJ0000166,Canal2,2023-10-12 03:00:00,2464708,1660467,1260960,1497,2229.160360108578,40
ADSXJ0000167,Canal2,2023-11-12 06:00:00,3126996,2037106,1561762,2497,3717.841152245194,46
ADSXJ0000168,Canal2,2023-10-18 05:00:00,2824095,1774268,1354975,1862,2772.249256603034,57
ADSXJ0000169,Canal2,2023-12-11 07:00:00,7688714,5240613,4025551,6814,10124.10807060318,119
ADSXJ0000170,Canal2,2023-10-19 05:00:00,2870653,1823338,1391757,1818,2698.683025701984,33
ADSXJ0000171,Canal2,2023-12-02 06:00:00,3245431,2352517,1801355,3130,4643.706929366223,81
ADSXJ0000172,Canal2,2023-11-29 06:00:00,4231174,2899105,2213968,3682,5457.769149780926,94
ADSXJ0000173,Canal2,2023-12-02 05:00:00,2040716,1467983,1115481,1672,2476.082813411547,42
ADSXJ0000174,Canal2,2023-12-10 07:00:00,7599756,4911452,3753631,6422,9506.316088861391,204
ADSXJ0000175,Canal2,2023-10-03 05:00:00,2195584,1662347,1291168,1804,2670.19724853635,58
ADSXJ0000176,Canal2,2023-11-27 02:00:00,3599150,2574170,1951267,2490,3683.474849915138,31
ADSXJ0000177,Canal2,2023-10-08 04:00:00,1758114,1303061,989179,1185,1751.709015419402,24
ADSXJ0000178,Canal2,2023-11-17 06:00:00,3771085,2657541,2040078,3310,4891.333129265787,86
ADSXJ0000179,Canal2,2023-10-23 04:00:00,2166022,1317109,1014140,1367,2019.717123694396,47
ADSXJ0000180,Canal2,2023-12-11 03:00:00,2749198,1831338,1378022,1912,2825.319021665613,36
ADSXJ0000181,Canal2,2023-11-27 03:00:00,2675895,1859858,1392082,1863,2752.623065576653,57
ADSXJ0000182,Canal2,2023-11-25 02:00:00,4174672,2976904,2263947,2923,4318.432555384193,95
ADSXJ0000183,Canal2,2023-11-08 03:00:00,2886167,1867849,1432879,1544,2280.937435958735,18
ADSXJ0000184,Canal2,2023-10-20 04:00:00,2155103,1424846,1076290,1240,1830.278081696382,32
ADSXJ0000185,Canal2,2023-11-10 03:00:00,2912424,1935764,1475827,1901,2805.623494604224,22
ADSXJ0000186,Canal2,2023-11-24 02:00:00,3790656,2681740,2046447,2635,3885.572773899158,78
ADSXJ0000187,Canal2,2023-12-03 03:00:00,2363088,1689066,1288738,1594,2350.704506690779,19
ADSXJ0000188,Canal2,2023-10-19 04:00:00,2289574,1440810,1089562,1351,1991.010794250561,24
ADSXJ0000189,Canal2,2023-12-02 04:00:00,2158588,1576146,1196034,1595,2351.615439894102,43
ADSXJ0000190,Canal2,2023-11-30 03:00:00,2643103,1789214,1343142,1921,2831.48081784683,37
ADSXJ0000191,Canal2,2023-11-30 02:00:00,3561439,2554313,1934995,2751,4053.900608279591,40
ADSXJ0000192,Canal2,2023-12-21 02:00:00,3683915,2612908,1980581,2792,4108.027592428297,38
ADSXJ0000193,Canal2,2023-11-05 05:00:00,2142496,1457177,1118350,1265,1861.384201324948,26
ADSXJ0000194,Canal2,2023-12-22 02:00:00,4318453,2940166,2240502,3186,4680.523611872492,102
ADSXJ0000195,Canal1,2023-11-02 02:00:00,134921,103170,72606,42,61.00992536170587,3
ADSXJ0000196,Canal2,2023-10-11 05:00:00,2607146,1741593,1338144,2016,2960.131736162824,38
ADSXJ0000197,Canal2,2023-10-22 04:00:00,1802428,1261973,977662,1211,1777.538071875859,21
ADSXJ0000198,Canal2,2023-11-06 05:00:00,2134516,1458892,1114412,1340,1966.58963838548,25
ADSXJ0000199,Canal2,2023-10-04 04:00:00,1761238,1305291,1007333,1276,1873.396917175665,32
ADSXJ0000200,Canal2,2023-10-15 03:00:00,2161113,1577854,1193730,1415,2076.102673653953,43
ADSXJ0000201,Canal2,2023-11-02 03:00:00,2531454,1616356,1241537,1240,1817.662795754926,39
ADSXJ0000202,Canal2,2023-12-19 01:00:00,5867137,3956843,3036734,4206,6156.211573858908,132
ADSXJ0000203,Canal2,2023-12-08 04:00:00,2530583,1666894,1237645,1632,2386.473491867521,51
ADSXJ0000204,Canal2,2023-10-06 05:00:00,2221932,1547770,1191552,1669,2439.57983509055,42
ADSXJ0000205,Canal2,2023-10-22 05:00:00,2283507,1603815,1242032,1688,2462.978007128154,48
ADSXJ0000206,Canal2,2023-11-05 06:00:00,2562671,1791474,1374053,1977,2882.937187151365,52
ADSXJ0000207,Canal2,2023-11-28 06:00:00,4626814,2902828,2214035,3583,5221.637013190752,106
ADSXJ0000208,Canal2,2023-10-05 05:00:00,2352435,1659972,1277575,1552,2259.878088721253,39
ADSXJ0000209,Canal2,2023-12-24 06:00:00,4328962,2958262,2252295,3683,5353.747695043083,44
ADSXJ0000210,Canal2,2023-12-24 02:00:00,3765357,2593159,1969564,2733,3973.007148054489,34
ADSXJ0000211,Canal2,2023-10-19 02:00:00,3224553,2183331,1664722,2068,3004.332711474547,54
ADSXJ0000212,Canal2,2023-10-21 05:00:00,2259553,1472233,1137268,1682,2443.079116407309,32
ADSXJ0000213,Canal2,2023-12-10 03:00:00,2703516,1857936,1369063,1830,2657.956251153139,45
ADSXJ0000214,Canal2,2023-10-27 05:00:00,2509474,1710678,1314997,1999,2902.094056118527,38
ADSXJ0000215,Canal2,2023-11-30 06:00:00,4216481,2907028,2219720,3954,5735.707580187657,71
ADSXJ0000216,Canal2,2023-12-17 06:00:00,4214126,2828212,2144685,3556,5148.43594259063,103
ADSXJ0000217,Canal2,2023-12-07 06:00:00,4825606,3157989,2406216,4049,5860.090120842689,45
ADSXJ0000218,Canal2,2023-11-30 07:00:00,7243213,5098095,3916159,6979,10099.91524580174,176
ADSXJ0000219,Canal2,2023-10-25 05:00:00,2868133,1842511,1423691,2072,2997.614043092186,53
ADSXJ0000220,Canal2,2023-12-16 03:00:00,3349473,2075073,1555556,2048,2962.56488169984,29
ADSXJ0000221,Canal2,2023-11-26 04:00:00,2729139,1657432,1247524,1714,2477.883772751116,25
ADSXJ0000222,Canal2,2023-11-07 06:00:00,3732689,2392155,1843918,2628,3797.396884307057,77
ADSXJ0000223,Canal2,2023-12-02 03:00:00,2776902,2048369,1561365,2050,2961.409232719984,65
ADSXJ0000224,Canal2,2023-10-03 04:00:00,1746646,1315790,1020309,1272,1835.92598176061,43
ADSXJ0000225,Canal2,2023-11-21 02:00:00,3635869,2548451,1942486,2531,3649.858237753931,36
ADSXJ0000226,Canal2,2023-10-09 04:00:00,2065473,1455568,1098291,1368,1972.584684584992,21
ADSXJ0000227,Canal2,2023-10-25 04:00:00,2251904,1430114,1102628,1400,2017.206138608969,23
ADSXJ0000228,Canal2,2023-11-09 02:00:00,4076496,2742626,2106543,2701,3890.766361712142,40
ADSXJ0000229,Canal2,2023-12-01 03:00:00,2838269,1944266,1471628,1879,2696.427381983672,34
ADSXJ0000230,Canal2,2023-11-26 02:00:00,4685174,3161441,2411809,3155,4525.456611164102,38
ADSXJ0000231,Canal2,2023-11-20 02:00:00,3321195,2554207,1944084,2575,3691.054221582245,28
ADSXJ0000232,Canal2,2023-10-16 04:00:00,2108529,1365042,1038210,1227,1757.849834325303,32
ADSXJ0000233,Canal2,2023-10-16 03:00:00,2375310,1562107,1188178,1467,2100.083162222473,26
ADSXJ0000234,Canal2,2023-10-12 02:00:00,3215266,2242731,1708842,2165,3098.651070829143,53
ADSXJ0000235,Canal2,2023-11-02 04:00:00,2296382,1432081,1102499,1245,1780.139978912457,21
ADSXJ0000236,Canal2,2023-11-30 01:00:00,5531744,3903149,2980166,4122,5893.680304908079,75
ADSXJ0000237,Canal2,2023-11-04 04:00:00,2230480,1475570,1129807,1296,1853.009018275332,14
ADSXJ0000238,Canal2,2023-11-10 06:00:00,3965693,2551786,1960963,3083,4402.183543971401,46
ADSXJ0000239,Canal2,2023-11-07 05:00:00,2464184,1581638,1210287,1546,2207.311584149071,39
ADSXJ0000240,Canal2,2023-10-24 03:00:00,2403429,1565805,1202914,1457,2079.263243444208,47
ADSXJ0000241,Canal2,2023-10-04 05:00:00,2215375,1647810,1274562,1875,2673.360477373244,30
ADSXJ0000242,Canal2,2023-12-12 07:00:00,7613356,5275472,4039407,7049,10042.19982443829,221
ADSXJ0000243,Canal2,2023-10-02 04:00:00,2171919,1400992,1084800,1280,1822.877249425754,14
ADSXJ0000244,Canal2,2023-11-27 07:00:00,7032471,4967398,3819186,6451,9164.8042401999,90
ADSXJ0000245,Canal2,2023-12-23 03:00:00,3127423,2038983,1548326,2093,2972.56004093134,31
ADSXJ0000246,Canal2,2023-10-06 04:00:00,1972217,1374000,1056293,1358,1928.632149447962,46
ADSXJ0000247,Canal2,2023-12-03 02:00:00,3363610,2461149,1885010,2364,3354.147132892016,71
ADSXJ0000248,Canal2,2023-12-16 05:00:00,2583744,1542078,1145849,1686,2391.496182768416,54
ADSXJ0000249,Canal2,2023-12-07 05:00:00,2793161,1763180,1331161,1968,2788.70922203569,36
ADSXJ0000250,Canal2,2023-10-21 04:00:00,2136249,1367874,1054337,1382,1958.361611447141,44
ADSXJ0000251,Canal2,2023-11-14 02:00:00,3633340,2531491,1928939,2482,3514.796647189903,70
ADSXJ0000252,Canal2,2023-11-11 06:00:00,3453426,2224546,1704416,2795,3958.137523652013,89
ADSXJ0000253,Canal2,2023-10-03 03:00:00,1975322,1489509,1156644,1381,1955.106850503627,44
ADSXJ0000254,Canal2,2023-12-01 05:00:00,2325014,1573957,1178743,1707,2414.1890465375,54
ADSXJ0000255,Canal2,2023-10-24 04:00:00,2167160,1368200,1054865,1329,1879.348346244258,25
ADSXJ0000256,Canal2,2023-11-07 03:00:00,2810638,1875528,1434762,1754,2474.504966499955,50
ADSXJ0000257,Canal2,2023-10-12 05:00:00,2780351,1815468,1381346,2070,2919.483156425772,32
ADSXJ0000258,Canal2,2023-12-20 07:00:00,7675361,5384770,4133538,7533,10621.17183543398,84
ADSXJ0000259,Canal2,2023-10-13 03:00:00,2582707,1795278,1359166,1780,2508.408550743084,54
ADSXJ0000260,Canal2,2023-12-15 02:00:00,4353650,2843174,2154219,3012,4242.994988351936,42
ADSXJ0000261,Canal2,2023-11-18 02:00:00,3962100,2820927,2160753,2874,4047.409949085762,33
ADSXJ0000262,Canal2,2023-11-16 02:00:00,3519602,2494750,1912850,2501,3518.216593036284,71
